agency_code,agency_name
NYPD,New York City Police Department
HPD,Department of Housing Preservation and Development
DOHMH,Department of Health and Mental Hygiene
DEP,Department of Environmental Protection
DPR,Department of Parks and Recreation
DOT,Department of Transportation
DSNY,Department of Sanitation
DOB,Department of Buildings
DCWP,Department of Consumer and Worker Protection
TLC,Taxi and Limousine Commission
DHS,Department of Homeless Services
EDC,Economic Development Corporation
DOE,Department of Education
OTI,Office of Technology and Innovation
