resolution_id,description
1,The Police Department responded to the complaint and determined that police action was not necessary.
2,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
3,The Police Department responded to the complaint and took action to fix the condition.
4,The Police Department responded and upon arrival those responsible for the condition were gone.
5,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
6,The Police Department issued a summons in response to the complaint.
7,The NYC Health Department has responded to your service request.  Restaurant inspection information can be found online at www.nyc.gov/health/abceats. This service request has been closed.
8,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
9,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.
10,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.
11,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.
12,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.
13,The Police Department visited the location and no Encampment was found.
14,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.
15,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
16,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
17,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.
18,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint."
19,The Department of Sanitation investigated this complaint and issued a Notice of Violation.
20,A Litter Basket was placed at the location.
21,The Department of Sanitation investigated this complaint and found no violation at the location.
22,The Department of Sanitation investigated this complaint and found no condition at the location.
23,The Department of Sanitation cleaned the location.
24,The Department of Health and Mental Hygiene has investigated the complaint and no violations were issued.
25,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.
26,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
27,The Department of Buildings investigated this complaint and determined that no further action was necessary.
28,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
29,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.
30,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint."
31,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.
32,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w"
33,This complaint does not fall under the Police Department's jurisdiction.
34,The Department of Environmental Protection investigated this complaint and resolved the street flooding.
35,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.
36,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
37,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.
38,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
39,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York Police Department (NYPD) for assistance. NYC311 can help you file a complaint or contact the agency for further assistance.
40,The Department of Environmental Protection researched this complaint and determined that it could be closed.
41,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd."
42,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.
43,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/dob/contact-us.page
44,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.
45,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.
46,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.
47,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675)."
48,The Department of Sanitation removed the items.
49,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.
50,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.
51,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.
52,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.
53,The Department of Consumer and Worker Protection (DCWP) finished reviewing your complaint. DCWP will contact you directly to report its status.
54,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.
55,The Department of Environmental Protection sent a letter to the complainant and/or respondent and the letter was returned as undeliverable.
56,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
57,"A representative from the Taxi and Limousine Commission (TLC) called and left a message for you and emailed you but has not been able to get in touch with you to confirm the details of your complaint. As a result, the TLC has closed your complaint. If you would like to have your complaint reopened, please call (718) 391-5617."
58,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction."
59,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information."
60,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
61,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.
62,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.
63,"The Department of Environmental Protection (DEP) closed your Service Request because it didn't include enough dog owner location information to respond to the complaint.  If the excessive dog barking continues, please file a new Service Request. You must include an NYC address for the dog's owner so DEP can send them a letter."
64,The Department of Housing Preservation and Development was unable to access the rooms where the following conditions were reported. No violations were issued. The complaint has been closed.
65,"Due to technical issues or other circumstances, the Department of Homeless Services has determined that this request should now be administratively closed."
66,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code."
67,The Department of Sanitation collected the requested items.
